Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,2/10/2020 19:15,18479713,441251,11187202
,0,2/10/2020 19:15,18755792,307869,16552176
,0,2/10/2020 19:15,11774063,336817,10482713
,0,2/10/2020 19:15,19223251,443987,8833364
,0,2/10/2020 19:15,2337320,55318,1990013
,0,2/10/2020 19:15,46290,1032,33194
,0,2/10/2020 19:15,721,15,706
,World,2/10/2020 19:15,70617150,1586289,49079368
,US,2/10/2020 19:15,15983907,298965,9299471
,India,2/10/2020 19:15,9795598,142214,9288853
,Brazil,2/10/2020 19:15,6781799,179765,5931777
,Russia,2/10/2020 19:15,2569126,45280,2033669
,France,2/10/2020 19:15,2337966,56940,174658
,UK,2/10/2020 19:15,1787783,63082,0
,Italy,2/10/2020 19:15,1787147,62626,1027994
,Turkey,2/10/2020 19:15,1748567,15751,1154333
,Spain,2/10/2020 19:15,1734386,47344,0
,Argentina,2/10/2020 19:15,1475222,40222,1311488
,Colombia,2/10/2020 19:15,1399911,38484,1296420
,Germany,2/10/2020 19:15,1270432,21233,922100
,Mexico,2/10/2020 19:15,1205229,111655,889168
,Poland,2/10/2020 19:15,1102096,21630,792119
,Iran,2/10/2020 19:15,1083023,51496,778167
,Peru,2/10/2020 19:15,977312,36455,912501
,Ukraine,2/10/2020 19:15,858714,14470,465021
,South Africa,2/10/2020 19:15,836764,22747,756671
,Indonesia,2/10/2020 19:15,598933,18336,491975
Brussels,Belgium,2/10/2020 19:15,597643,17603,40541
,Netherlands,2/10/2020 19:15,585685,9902,0
,Iraq,2/10/2020 19:15,571253,12526,501967
,Chile,2/10/2020 19:15,566440,15774,540288
,Czechia,2/10/2020 19:15,563333,9226,493946
,Romania,2/10/2020 19:15,539107,12948,434679
,Bangladesh,2/10/2020 19:15,485965,6967,410452
,Philippines,2/10/2020 19:15,445540,8701,409058
,Canada,2/10/2020 19:15,439780,13068,353646
,Pakistan,2/10/2020 19:15,429280,8603,374301
,Morocco,2/10/2020 19:15,391529,6492,345934
,Switzerland,2/10/2020 19:15,368695,5823,288400
,Saudi Arabia,2/10/2020 19:15,359415,6012,349872
,Israel,2/10/2020 19:15,352079,2959,333203
,Portugal,2/10/2020 19:15,335207,5278,259548
,Austria,2/10/2020 19:15,313688,4163,269665
,Sweden,2/10/2020 19:15,312728,7354,0
,Hungary,2/10/2020 19:15,265003,6451,77362
,Jordan,2/10/2020 19:15,253121,3250,206638
,Serbia,2/10/2020 19:15,249224,2172,31536
,Nepal,2/10/2020 19:15,245650,1663,231601
,Ecuador,2/10/2020 19:15,200379,13850,174188
,Panama,2/10/2020 19:15,182977,3264,156870
,United Arab Emirates,2/10/2020 19:15,181405,602,161741
,Georgia,2/10/2020 19:15,178953,1657,148332
,Bulgaria,2/10/2020 19:15,171493,5283,72078
,Japan,2/10/2020 19:15,168573,2465,143006
,Croatia,2/10/2020 19:15,163992,2420,136721
,Azerbaijan,2/10/2020 19:15,162774,1793,99892
,Belarus,2/10/2020 19:15,154392,1238,132085
,Dominican Republic,2/10/2020 19:15,151721,2358,118770
,Costa Rica,2/10/2020 19:15,148688,1864,107624
,Bolivia,2/10/2020 19:15,146060,9004,125490
,Kuwait,2/10/2020 19:15,145495,910,141259
,Armenia,2/10/2020 19:15,145240,2416,121882
,Lebanon,2/10/2020 19:15,142187,1170,95737
,Qatar,2/10/2020 19:15,140516,240,138033
,Kazakhstan,2/10/2020 19:15,139159,2088,123215
,Guatemala,2/10/2020 19:15,127786,4345,116442
,Oman,2/10/2020 19:15,125669,1463,117327
,Slovakia,2/10/2020 19:15,124921,1104,91455
