Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,1/15/2021 19:15,27424935,578016,16809452
,0,1/15/2021 19:15,21890374,354499,20313414
,0,1/15/2021 19:15,14424716,384704,12753234
,0,1/15/2021 19:15,27153102,618883,14684278
,0,1/15/2021 19:15,3219213,77672,2626484
,0,1/15/2021 19:15,49457,1071,33727
,0,1/15/2021 19:15,721,15,706
,World,1/15/2021 19:15,94162518,2014860,67221295
,US,1/15/2021 19:15,24039385,401084,14192896
,India,1/15/2021 19:15,10542068,152094,10176506
,Brazil,1/15/2021 19:15,8390341,208133,7339703
,Russia,1/15/2021 19:15,3520531,64495,2909680
,UK,1/15/2021 19:15,3316019,87295,1503654
,France,1/15/2021 19:15,2872941,69949,208071
,Turkey,1/15/2021 19:15,2373115,23664,2246047
,Italy,1/15/2021 19:15,2352423,81325,1713030
,Spain,1/15/2021 19:15,2252164,53314,0
,Germany,1/15/2021 19:15,2023779,46537,1641200
,Colombia,1/15/2021 19:15,1849101,47491,1683835
,Argentina,1/15/2021 19:15,1770715,45125,1549490
,Mexico,1/15/2021 19:15,1588369,137916,1185621
,Poland,1/15/2021 19:15,1422320,32844,1164650
,Iran,1/15/2021 19:15,1318295,56621,1107011
,South Africa,1/15/2021 19:15,1311686,36467,1062690
,Ukraine,1/15/2021 19:15,1146963,20542,847391
,Peru,1/15/2021 19:15,1048662,38564,976202
,Netherlands,1/15/2021 19:15,901696,12868,0
,Indonesia,1/15/2021 19:15,882418,25484,718696
,Czechia,1/15/2021 19:15,874605,14029,717569
,Canada,1/15/2021 19:15,694412,17707,600384
,Romania,1/15/2021 19:15,688270,17098,618673
Brussels,Belgium,1/15/2021 19:15,672886,20294,46417
,Chile,1/15/2021 19:15,661180,17369,617372
,Iraq,1/15/2021 19:15,606991,12932,565889
,Israel,1/15/2021 19:15,535049,3910,453358
,Portugal,1/15/2021 19:15,528469,8543,394065
,Bangladesh,1/15/2021 19:15,526485,7862,471123
,Sweden,1/15/2021 19:15,523486,10323,0
,Pakistan,1/15/2021 19:15,514338,10863,469306
,Philippines,1/15/2021 19:15,496646,9876,459737
,Switzerland,1/15/2021 19:15,495228,8641,317600
,Morocco,1/15/2021 19:15,457625,7888,432576
,Austria,1/15/2021 19:15,390788,6987,365214
,Serbia,1/15/2021 19:15,369823,3708,31536
,Saudi Arabia,1/15/2021 19:15,364613,6313,356382
,Hungary,1/15/2021 19:15,349149,11177,225021
,Jordan,1/15/2021 19:15,312851,4121,295705
,Japan,1/15/2021 19:15,309214,4315,238467
,Panama,1/15/2021 19:15,291285,4651,230702
,Nepal,1/15/2021 19:15,266816,1948,260567
,United Arab Emirates,1/15/2021 19:15,246376,733,218988
,Georgia,1/15/2021 19:15,245789,2893,229196
,Lebanon,1/15/2021 19:15,243286,1825,147746
,Ecuador,1/15/2021 19:15,226866,14273,193581
,Azerbaijan,1/15/2021 19:15,226549,2983,213773
,Croatia,1/15/2021 19:15,223812,4550,214609
,Belarus,1/15/2021 19:15,221604,1564,204500
,Slovakia,1/15/2021 19:15,220707,3362,163323
,Bulgaria,1/15/2021 19:15,210951,8396,150370
,Dominican Republic,1/15/2021 19:15,188969,2432,140931
,Denmark,1/15/2021 19:15,187320,1720,165166
,Costa Rica,1/15/2021 19:15,184187,2416,141374
,Bolivia,1/15/2021 19:15,181016,9530,141736
,Tunisia,1/15/2021 19:15,175065,5528,125635
,Ireland,1/15/2021 19:15,166548,2536,23364
,Kazakhstan,1/15/2021 19:15,166146,2349,151838
,Lithuania,1/15/2021 19:15,165560,2376,100495
,Armenia,1/15/2021 19:15,163972,2974,152320
,Kuwait,1/15/2021 19:15,156964,947,150329
,Egypt,1/15/2021 19:15,153741,8421,121072
,Moldova,1/15/2021 19:15,152263,3228,141975
,Palestine,1/15/2021 19:15,151142,1687,137648
,Malaysia,1/15/2021 19:15,151066,586,115227
,Greece,1/15/2021 19:15,147860,5421,9989
,Guatemala,1/15/2021 19:15,147560,5177,133217
,Slovenia,1/15/2021 19:15,146956,3121,120894
,Qatar,1/15/2021 19:15,146885,246,143435
,Myanmar,1/15/2021 19:15,133378,2926,116610
,Honduras,1/15/2021 19:15,131963,3335,59963
,Oman,1/15/2021 19:15,131264,1509,123593
,Ethiopia,1/15/2021 19:15,130326,2023,115428
,Paraguay,1/15/2021 19:15,119640,2466,94983
,Venezuela,1/15/2021 19:15,118415,1090,111999
,Bosnia and Herzegovina,1/15/2021 19:15,117011,4411,84650
,Libya,1/15/2021 19:15,108017,1651,85068
,Nigeria,1/15/2021 19:15,105478,1405,83830
,Algeria,1/15/2021 19:15,103127,2822,69992
,Kenya,1/15/2021 19:15,98859,1726,82195
,Bahrain,1/15/2021 19:15,97020,357,93726
,North Macedonia,1/15/2021 19:15,88389,2682,69476
,Kyrgyzstan,1/15/2021 19:15,82857,1381,78715
,Uzbekistan,1/15/2021 19:15,77845,619,76335
,South Korea,1/15/2021 19:15,71241,1217,56536
,Albania,1/15/2021 19:15,66635,1265,39625
,Singapore,1/15/2021 19:15,59059,29,58771
,Norway,1/15/2021 19:15,58004,517,46611
,Ghana,1/15/2021 19:15,56981,341,55236
,Montenegro,1/15/2021 19:15,54730,741,44388
,Latvia,1/15/2021 19:15,54066,935,40971
,Afghanistan,1/15/2021 19:15,53938,2336,45434
,Sri Lanka,1/15/2021 19:15,51594,255,44259
,El Salvador,1/15/2021 19:15,50157,1469,44304
