Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,3/30/2021 19:15,35783507,817258,27475130
,0,3/30/2021 19:15,21002960,547360,18639764
,0,3/30/2021 19:15,28308409,426623,25980329
,0,3/30/2021 19:15,39359646,909132,27846645
,0,3/30/2021 19:15,4237926,112720,3803315
,0,3/30/2021 19:15,56630,1138,34546
,0,3/30/2021 19:15,721,15,706
,World,3/30/2021 19:15,128749799,2814246,103780435
,US,3/30/2021 19:15,31092094,564083,23581481
,Brazil,3/30/2021 19:15,12658109,317646,10969247
,India,3/30/2021 19:15,12148405,162502,11432029
,France,3/30/2021 19:15,4585385,95337,292796
,Russia,3/30/2021 19:15,4536820,98442,4155996
,UK,3/30/2021 19:15,4341736,126670,3835218
,Italy,3/30/2021 19:15,3561012,108879,2889301
,Turkey,3/30/2021 19:15,3277880,31385,2995033
,Spain,3/30/2021 19:15,3275819,75305,3042352
,Germany,3/30/2021 19:15,2809510,76833,2507900
,Colombia,3/30/2021 19:15,2397731,63255,2279840
,Argentina,3/30/2021 19:15,2322611,55611,2088256
,Poland,3/30/2021 19:15,2288826,52392,1848199
,Mexico,3/30/2021 19:15,2227842,201826,1765244
,Iran,3/30/2021 19:15,1875234,62569,1608807
,Ukraine,3/30/2021 19:15,1662942,32418,1307076
,South Africa,3/30/2021 19:15,1546735,52788,1473588
,Peru,3/30/2021 19:15,1533121,51635,1451112
,Czechia,3/30/2021 19:15,1523668,26222,1354424
,Indonesia,3/30/2021 19:15,1505775,40754,1342695
,Netherlands,3/30/2021 19:15,1264983,16509,0
,Chile,3/30/2021 19:15,989492,23107,924612
,Canada,3/30/2021 19:15,974924,22921,905814
,Romania,3/30/2021 19:15,946647,23409,845357
Brussels,Belgium,3/30/2021 19:15,872936,22921,56720
,Iraq,3/30/2021 19:15,844260,14286,755350
,Israel,3/30/2021 19:15,832639,6197,817698
,Portugal,3/30/2021 19:15,821104,16845,777503
,Sweden,3/30/2021 19:15,796445,13430,0
,Philippines,3/30/2021 19:15,741181,13191,603310
,Pakistan,3/30/2021 19:15,663200,14356,600278
,Hungary,3/30/2021 19:15,645733,20435,402964
,Bangladesh,3/30/2021 19:15,605937,8994,539880
,Jordan,3/30/2021 19:15,605007,6747,503952
,Switzerland,3/30/2021 19:15,598713,10322,544729
,Serbia,3/30/2021 19:15,595489,5270,498101
,Austria,3/30/2021 19:15,542542,9308,497816
,Morocco,3/30/2021 19:15,495421,8813,483165
,Japan,3/30/2021 19:15,470175,9086,443640
,Lebanon,3/30/2021 19:15,465007,6184,366639
,United Arab Emirates,3/30/2021 19:15,459360,1492,443153
,Saudi Arabia,3/30/2021 19:15,389422,6663,377714
,Slovakia,3/30/2021 19:15,359330,9624,255300
,Panama,3/30/2021 19:15,354085,6103,343057
,Malaysia,3/30/2021 19:15,344018,1265,328554
,Bulgaria,3/30/2021 19:15,338426,13068,255692
,Ecuador,3/30/2021 19:15,327325,16780,281684
,Belarus,3/30/2021 19:15,320594,2237,310983
,Georgia,3/30/2021 19:15,281145,3773,272899
,Nepal,3/30/2021 19:15,277147,3030,272727
,Bolivia,3/30/2021 19:15,270347,12211,219389
,Croatia,3/30/2021 19:15,269009,5928,253459
,Greece,3/30/2021 19:15,260077,8017,219367
,Azerbaijan,3/30/2021 19:15,259476,3538,237338
,Dominican Republic,3/30/2021 19:15,252384,3317,211744
,Tunisia,3/30/2021 19:15,252171,8788,216712
,Kazakhstan,3/30/2021 19:15,243318,3029,218031
,Palestine,3/30/2021 19:15,240065,2614,213590
,Ireland,3/30/2021 19:15,235444,4681,23364
,Kuwait,3/30/2021 19:15,230821,1308,215250
,Denmark,3/30/2021 19:15,229902,2417,218246
,Moldova,3/30/2021 19:15,228370,4915,205759
,Costa Rica,3/30/2021 19:15,216764,2957,192699
,Lithuania,3/30/2021 19:15,215216,3566,198588
,Slovenia,3/30/2021 19:15,214045,4040,197420
,Paraguay,3/30/2021 19:15,210425,4113,172386
,Ethiopia,3/30/2021 19:15,204521,2841,156625
,Egypt,3/30/2021 19:15,200739,11914,153630
,Guatemala,3/30/2021 19:15,193834,6823,176613
,Armenia,3/30/2021 19:15,191491,3497,172605
,Honduras,3/30/2021 19:15,187975,4585,71988
,Qatar,3/30/2021 19:15,179184,289,163684
,Bosnia and Herzegovina,3/30/2021 19:15,167654,6519,129918
,Nigeria,3/30/2021 19:15,162641,2049,150466
,Libya,3/30/2021 19:15,158251,2658,146480
,Oman,3/30/2021 19:15,158056,1669,143398
,Venezuela,3/30/2021 19:15,157943,1577,146196
,Bahrain,3/30/2021 19:15,143574,517,134442
,Myanmar,3/30/2021 19:15,142412,3206,131793
,Kenya,3/30/2021 19:15,132646,2147,92290
,North Macedonia,3/30/2021 19:15,128511,3749,106392
,Albania,3/30/2021 19:15,124723,2227,90617
,Algeria,3/30/2021 19:15,116946,3084,81349
,Estonia,3/30/2021 19:15,105416,896,80092
,South Korea,3/30/2021 19:15,102582,1729,94563
,Latvia,3/30/2021 19:15,101733,1893,92825
,Uruguay,3/30/2021 19:15,99584,928,79410
,Norway,3/30/2021 19:15,94622,661,80023
,Sri Lanka,3/30/2021 19:15,92442,566,89090
,Montenegro,3/30/2021 19:15,90832,1266,82946
,Ghana,3/30/2021 19:15,90287,740,87137
,Kyrgyzstan,3/30/2021 19:15,88276,1498,84723
,Zambia,3/30/2021 19:15,88199,1202,84519
,Uzbekistan,3/30/2021 19:15,82682,628,80799
,Finland,3/30/2021 19:15,76845,826,46000
,Cuba,3/30/2021 19:15,74212,421,69868
,Mozambique,3/30/2021 19:15,67197,764,55275
,El Salvador,3/30/2021 19:15,64431,2006,61640
,Luxembourg,3/30/2021 19:15,61255,743,56903
,Singapore,3/30/2021 19:15,60347,30,60138
,Afghanistan,3/30/2021 19:15,56454,2484,51473
,Cameroon,3/30/2021 19:15,47669,721,35261
,Cyprus,3/30/2021 19:15,44991,254,2057
,Namibia,3/30/2021 19:15,44051,520,41676
,Ivory Coast,3/30/2021 19:15,43542,242,39842
,Uganda,3/30/2021 19:15,40839,335,40448
,Botswana,3/30/2021 19:15,39848,568,36958
,Jamaica,3/30/2021 19:15,38848,587,17474
,Senegal,3/30/2021 19:15,38618,1049,37228
,Zimbabwe,3/30/2021 19:15,36839,1520,34617
,Malawi,3/30/2021 19:15,33525,1116,30156
,Sudan,3/30/2021 19:15,29825,2041,24079
,Australia,3/30/2021 19:15,29293,909,26277
,Malta,3/30/2021 19:15,28993,390,27704
,Thailand,3/30/2021 19:15,28821,94,27379
,DRC,3/30/2021 19:15,28076,743,25444
,Madagascar,3/30/2021 19:15,24264,403,21776
,Maldives,3/30/2021 19:15,23838,66,20984
,Angola,3/30/2021 19:15,22182,536,20446
,Rwanda,3/30/2021 19:15,21645,306,20001
,Guinea,3/30/2021 19:15,19793,125,16547
,Mayotte,3/30/2021 19:15,19408,161,2964
,Gabon,3/30/2021 19:15,19140,114,16311
,Syria,3/30/2021 19:15,18775,1254,12610
,French Polynesia,3/30/2021 19:15,18612,141,4842
,Mauritania,3/30/2021 19:15,17824,449,17072
,Eswatini,3/30/2021 19:15,17333,667,16481
,Cabo Verde,3/30/2021 19:15,17279,168,16191
,French Guiana,3/30/2021 19:15,16922,89,9995
,Reunion,3/30/2021 19:15,16586,115,14828
,Tajikistan,3/30/2021 19:15,13308,90,13218
,Haiti,3/30/2021 19:15,12736,251,10754
,Burkina Faso,3/30/2021 19:15,12717,146,12385
,Belize,3/30/2021 19:15,12415,317,12061
,Andorra,3/30/2021 19:15,11944,115,11276
Hong Kong,Hong Kong,3/30/2021 19:15,11462,205,11075
,Guadeloupe,3/30/2021 19:15,11298,165,2242
,Somalia,3/30/2021 19:15,11292,521,4795
,Lesotho,3/30/2021 19:15,10686,315,4471
,Togo,3/30/2021 19:15,10249,109,7815
,Guyana,3/30/2021 19:15,10192,231,8998
,South Sudan,3/30/2021 19:15,10119,108,9594
,Mali,3/30/2021 19:15,9998,384,6800
,Congo,3/30/2021 19:15,9681,135,8208
,Aruba,3/30/2021 19:15,9374,85,8635
,Suriname,3/30/2021 19:15,9104,177,8585
,Bahamas,3/30/2021 19:15,9000,188,7841
,Mongolia,3/30/2021 19:15,8070,6,4835
,Trinidad and Tobago,3/30/2021 19:15,8004,142,7608
,Djibouti,3/30/2021 19:15,7790,69,6380
,Curacao,3/30/2021 19:15,7740,33,5159
,Martinique,3/30/2021 19:15,7710,49,98
,Benin,3/30/2021 19:15,7100,90,6452
,Equatorial Guinea,3/30/2021 19:15,6914,102,6495
,Nicaragua,3/30/2021 19:15,6629,177,4225
,Iceland,3/30/2021 19:15,6194,29,6056
,Papua New Guinea,3/30/2021 19:15,5620,56,846
,Gambia,3/30/2021 19:15,5420,164,5050
,CAR,3/30/2021 19:15,5161,67,4957
,Niger,3/30/2021 19:15,4987,185,4586
,San Marino,3/30/2021 19:15,4678,84,4089
,Chad,3/30/2021 19:15,4523,164,4137
,Gibraltar,3/30/2021 19:15,4274,94,4167
,Yemen,3/30/2021 19:15,4247,882,1667
,Saint Lucia,3/30/2021 19:15,4228,59,4130
,Seychelles,3/30/2021 19:15,4135,22,3745
,Channel Islands,3/30/2021 19:15,4049,86,3956
,Sierra Leone,3/30/2021 19:15,3970,79,2801
,Comoros,3/30/2021 19:15,3696,146,3525
,Guinea-Bissau,3/30/2021 19:15,3634,61,2940
,Barbados,3/30/2021 19:15,3634,41,3444
,Eritrea,3/30/2021 19:15,3279,9,3029
,Burundi,3/30/2021 19:15,2757,6,773
,Liechtenstein,3/30/2021 19:15,2664,56,2562
,Vietnam,3/30/2021 19:15,2594,35,2359
,New Zealand,3/30/2021 19:15,2495,26,2389
,Cambodia,3/30/2021 19:15,2378,11,1176
,Turks and Caicos,3/30/2021 19:15,2327,17,2203
,Monaco,3/30/2021 19:15,2282,28,2110
