Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,3/26/2021 19:15,35486377,812236,27117911
,0,3/26/2021 19:15,20576932,533693,18288322
,0,3/26/2021 19:15,27678437,421914,25552033
,0,3/26/2021 19:15,38638419,897303,27296115
,0,3/26/2021 19:15,4198475,111752,3772287
,0,3/26/2021 19:15,55557,1121,34520
,0,3/26/2021 19:15,721,15,706
,World,3/26/2021 19:15,126634918,2778034,102061894
,US,3/26/2021 19:15,30844065,561028,23263871
,Brazil,3/26/2021 19:15,12404414,307112,10772549
,India,3/26/2021 19:15,11908356,161275,11292838
,Russia,3/26/2021 19:15,4501859,97017,4120161
,France,3/26/2021 19:15,4465956,94275,288062
,UK,3/26/2021 19:15,4325315,126515,3768434
,Italy,3/26/2021 19:15,3488619,107256,2814652
,Spain,3/26/2021 19:15,3255324,75010,3016247
,Turkey,3/26/2021 19:15,3149094,30772,2921037
,Germany,3/26/2021 19:15,2754002,76303,2467600
,Colombia,3/26/2021 19:15,2359942,62519,2250063
,Argentina,3/26/2021 19:15,2278115,55092,2056472
,Mexico,3/26/2021 19:15,2214542,200211,1752125
,Poland,3/26/2021 19:15,2189966,51305,1747223
,Iran,3/26/2021 19:15,1838803,62223,1577408
,Ukraine,3/26/2021 19:15,1614707,31461,1290158
,South Africa,3/26/2021 19:15,1543079,52602,1469565
,Czechia,3/26/2021 19:15,1503307,25639,1299552
,Peru,3/26/2021 19:15,1500465,50831,1414106
,Indonesia,3/26/2021 19:15,1487541,40166,1322878
,Netherlands,3/26/2021 19:15,1236209,16421,0
,Chile,3/26/2021 19:15,962321,22587,897975
,Canada,3/26/2021 19:15,954687,22809,892280
,Romania,3/26/2021 19:15,926310,22835,830270
Brussels,Belgium,3/26/2021 19:15,854608,22816,56170
,Israel,3/26/2021 19:15,831383,6165,814505
,Iraq,3/26/2021 19:15,822095,14157,736747
,Portugal,3/26/2021 19:15,819698,16819,771339
,Sweden,3/26/2021 19:15,780018,13402,0
,Philippines,3/26/2021 19:15,702856,13149,580689
,Pakistan,3/26/2021 19:15,645356,14091,591145
,Hungary,3/26/2021 19:15,614612,19499,392314
,Switzerland,3/26/2021 19:15,592217,10298,542535
,Bangladesh,3/26/2021 19:15,588132,8830,531651
,Jordan,3/26/2021 19:15,577734,6374,468037
,Serbia,3/26/2021 19:15,577120,5114,484455
,Austria,3/26/2021 19:15,530288,9200,486088
,Morocco,3/26/2021 19:15,493867,8793,481597
,Japan,3/26/2021 19:15,462840,8967,438879
,Lebanon,3/26/2021 19:15,455381,6013,356820
,United Arab Emirates,3/26/2021 19:15,450765,1472,434035
,Saudi Arabia,3/26/2021 19:15,387292,6637,376203
,Slovakia,3/26/2021 19:15,355454,9373,255300
,Panama,3/26/2021 19:15,352579,6073,341476
,Malaysia,3/26/2021 19:15,339443,1249,323925
,Ecuador,3/26/2021 19:15,321451,16632,271847
,Bulgaria,3/26/2021 19:15,321104,12512,244472
,Belarus,3/26/2021 19:15,316418,2202,307004
,Georgia,3/26/2021 19:15,279446,3738,271585
,Nepal,3/26/2021 19:15,276665,3024,272342
,Bolivia,3/26/2021 19:15,267833,12131,216057
,Croatia,3/26/2021 19:15,264111,5854,249205
,Azerbaijan,3/26/2021 19:15,252680,3445,234893
,Dominican Republic,3/26/2021 19:15,251332,3298,210396
,Greece,3/26/2021 19:15,249458,7754,211872
,Tunisia,3/26/2021 19:15,248782,8684,214916
,Kazakhstan,3/26/2021 19:15,237300,2952,214714
,Palestine,3/26/2021 19:15,233549,2537,206914
,Ireland,3/26/2021 19:15,233327,4651,23364
,Denmark,3/26/2021 19:15,226633,2411,215596
,Kuwait,3/26/2021 19:15,225980,1270,210024
,Moldova,3/26/2021 19:15,223986,4745,197623
,Costa Rica,3/26/2021 19:15,215178,2931,191707
,Lithuania,3/26/2021 19:15,212676,3529,196504
,Slovenia,3/26/2021 19:15,210785,4008,195000
,Paraguay,3/26/2021 19:15,202700,3910,166002
,Egypt,3/26/2021 19:15,198011,11768,151765
,Ethiopia,3/26/2021 19:15,196621,2769,152508
,Guatemala,3/26/2021 19:15,192133,6775,174343
,Armenia,3/26/2021 19:15,188446,3434,170160
,Honduras,3/26/2021 19:15,185484,4527,70427
,Qatar,3/26/2021 19:15,176521,282,162173
,Nigeria,3/26/2021 19:15,162275,2036,149882
,Bosnia and Herzegovina,3/26/2021 19:15,162032,6220,128241
,Libya,3/26/2021 19:15,156116,2602,143697
,Venezuela,3/26/2021 19:15,154165,1532,142909
,Oman,3/26/2021 19:15,153838,1650,140766
,Myanmar,3/26/2021 19:15,142340,3205,131781
,Bahrain,3/26/2021 19:15,139953,512,131594
,Kenya,3/26/2021 19:15,128178,2098,91513
,North Macedonia,3/26/2021 19:15,124910,3607,103831
,Albania,3/26/2021 19:15,123216,2192,88349
,Algeria,3/26/2021 19:15,116657,3074,81160
,Estonia,3/26/2021 19:15,101587,847,72025
,South Korea,3/26/2021 19:15,100770,1716,92630
,Latvia,3/26/2021 19:15,100114,1867,90537
,Sri Lanka,3/26/2021 19:15,91561,557,88145
,Norway,3/26/2021 19:15,91283,656,74332
,Ghana,3/26/2021 19:15,90094,740,86749
,Uruguay,3/26/2021 19:15,89458,856,72919
,Montenegro,3/26/2021 19:15,89363,1234,80835
,Kyrgyzstan,3/26/2021 19:15,87858,1494,84469
,Zambia,3/26/2021 19:15,87583,1194,84018
,Uzbekistan,3/26/2021 19:15,81960,624,80248
,Finland,3/26/2021 19:15,74754,817,46000
,Cuba,3/26/2021 19:15,70634,413,66847
,Mozambique,3/26/2021 19:15,66879,758,55074
,El Salvador,3/26/2021 19:15,63766,1996,61009
,Luxembourg,3/26/2021 19:15,60465,738,56318
,Singapore,3/26/2021 19:15,60265,30,60103
,Afghanistan,3/26/2021 19:15,56290,2469,49994
,Cameroon,3/26/2021 19:15,47669,721,35261
,Cyprus,3/26/2021 19:15,43610,248,2057
,Namibia,3/26/2021 19:15,43179,504,41153
,Ivory Coast,3/26/2021 19:15,42468,229,38246
,Uganda,3/26/2021 19:15,40751,335,40379
,Botswana,3/26/2021 19:15,38466,506,33903
,Senegal,3/26/2021 19:15,38354,1031,36107
,Jamaica,3/26/2021 19:15,37458,557,16848
,Zimbabwe,3/26/2021 19:15,36805,1518,34572
,Malawi,3/26/2021 19:15,33415,1112,29417
,Sudan,3/26/2021 19:15,29661,2028,23990
,Australia,3/26/2021 19:15,29238,909,26263
,Malta,3/26/2021 19:15,28715,382,26480
,Thailand,3/26/2021 19:15,28577,92,27032
,DRC,3/26/2021 19:15,27794,726,25355
,Maldives,3/26/2021 19:15,23237,66,20529
,Madagascar,3/26/2021 19:15,23230,378,21461
,Angola,3/26/2021 19:15,21961,532,20250
,Rwanda,3/26/2021 19:15,21309,300,19657
,Guinea,3/26/2021 19:15,19403,116,16270
,Mayotte,3/26/2021 19:15,19306,154,2964
,French Polynesia,3/26/2021 19:15,18605,141,4842
,Gabon,3/26/2021 19:15,18426,109,15863
,Syria,3/26/2021 19:15,18201,1216,12142
,Mauritania,3/26/2021 19:15,17712,447,16962
,Eswatini,3/26/2021 19:15,17306,666,16250
,French Guiana,3/26/2021 19:15,16922,89,9995
,Cabo Verde,3/26/2021 19:15,16911,165,16011
,Reunion,3/26/2021 19:15,15561,102,14064
,Tajikistan,3/26/2021 19:15,13308,90,13218
,Haiti,3/26/2021 19:15,12736,251,10754
,Burkina Faso,3/26/2021 19:15,12650,145,12314
,Belize,3/26/2021 19:15,12411,317,12052
,Andorra,3/26/2021 19:15,11732,114,11149
Hong Kong,Hong Kong,3/26/2021 19:15,11440,205,11023
,Guadeloupe,3/26/2021 19:15,11298,165,2242
,Lesotho,3/26/2021 19:15,10686,315,4438
,Somalia,3/26/2021 19:15,10664,471,4634
,South Sudan,3/26/2021 19:15,10048,108,9330
,Guyana,3/26/2021 19:15,10007,225,8801
,Mali,3/26/2021 19:15,9719,376,6751
,Congo,3/26/2021 19:15,9681,135,8208
,Togo,3/26/2021 19:15,9506,107,7466
,Aruba,3/26/2021 19:15,9142,82,8401
,Suriname,3/26/2021 19:15,9085,177,8573
,Bahamas,3/26/2021 19:15,8935,188,7757
,Trinidad and Tobago,3/26/2021 19:15,7924,141,7576
,Martinique,3/26/2021 19:15,7710,49,98
,Djibouti,3/26/2021 19:15,7169,66,6235
,Benin,3/26/2021 19:15,7100,90,6452
,Curacao,3/26/2021 19:15,7057,28,5008
,Equatorial Guinea,3/26/2021 19:15,6851,102,6335
,Nicaragua,3/26/2021 19:15,6629,177,4225
,Mongolia,3/26/2021 19:15,6332,5,4150
,Iceland,3/26/2021 19:15,6163,29,6039
,Gambia,3/26/2021 19:15,5303,161,4926
,CAR,3/26/2021 19:15,5088,64,4957
,Niger,3/26/2021 19:15,4964,185,4569
,Papua New Guinea,3/26/2021 19:15,4660,39,846
,San Marino,3/26/2021 19:15,4547,84,3947
,Chad,3/26/2021 19:15,4480,158,4094
,Gibraltar,3/26/2021 19:15,4273,94,4161
,Saint Lucia,3/26/2021 19:15,4172,58,4085
,Channel Islands,3/26/2021 19:15,4046,86,3960
,Seychelles,3/26/2021 19:15,3996,20,3318
,Sierra Leone,3/26/2021 19:15,3962,79,2800
,Yemen,3/26/2021 19:15,3900,820,1588
,Comoros,3/26/2021 19:15,3689,146,3494
,Guinea-Bissau,3/26/2021 19:15,3615,61,2921
,Barbados,3/26/2021 19:15,3593,40,3404
,Eritrea,3/26/2021 19:15,3208,9,2970
,Burundi,3/26/2021 19:15,2657,6,773
,Liechtenstein,3/26/2021 19:15,2645,56,2553
,Vietnam,3/26/2021 19:15,2586,35,2265
,New Zealand,3/26/2021 19:15,2479,26,2379
,Turks and Caicos,3/26/2021 19:15,2318,17,2187
,Monaco,3/26/2021 19:15,2248,28,2052
,Sao Tome and Principe,3/26/2021 19:15,2196,34,2041
,Sint Maarten,3/26/2021 19:15,2118,27,2064
,Liberia,3/26/2021 19:15,2042,85,1899
,Cambodia,3/26/2021 19:15,1968,8,1074
,St. Vincent Grenadines,3/26/2021 19:15,1721,10,1577
,Saint Martin,3/26/2021 19:15,1619,12,1399
,Isle of Man,3/26/2021 19:15,1551,27,851
,Caribbean Netherlands,3/26/2021 19:15,1247,10,791
,Antigua and Barbuda,3/26/2021 19:15,1103,28,748
Taiwan,Taiwan,3/26/2021 19:15,1013,10,973
,Bermuda,3/26/2021 19:15,914,12,718
,Bhutan,3/26/2021 19:15,870,1,867
,Mauritius,3/26/2021 19:15,853,10,592
,St. Barth,3/26/2021 19:15,775,1,462
Yokohama,Japan,3/26/2021 19:15,712,13,699
,Faeroe Islands,3/26/2021 19:15,661,1,660
,Tanzania,3/26/2021 19:15,509,21,183
,Cayman Islands,3/26/2021 19:15,487,2,462
,Timor-Leste,3/26/2021 19:15,452,0,154
,Wallis and Futuna,3/26/2021 19:15,358,4,44
,Brunei,3/26/2021 19:15,206,3,188
,Dominica,3/26/2021 19:15,161,0,153
,Grenada,3/26/2021 19:15,155,1,152
,British Virgin Islands,3/26/2021 19:15,153,1,131
,New Caledonia,3/26/2021 19:15,121,0,58
,Fiji,3/26/2021 19:15,67,2,64
,Falkland Islands,3/26/2021 19:15,54,0,54
,Laos,3/26/2021 19:15,49,0,45
Macau,Macau,3/26/2021 19:15,48,0,48
,Saint Kitts and Nevis,3/26/2021 19:15,44,0,42
,Greenland,3/26/2021 19:15,31,0,31
,Vatican City,3/26/2021 19:15,27,0,15
,Saint Pierre Miquelon,3/26/2021 19:15,24,0,24
,Anguilla,3/26/2021 19:15,22,0,20
,Montserrat,3/26/2021 19:15,20,1,19
,Solomon Islands,3/26/2021 19:15,18,0,16
,Western Sahara,3/26/2021 19:15,10,1,8
,MS Zaandam,3/26/2021 19:15,9,2,7
,Marshall Islands,3/26/2021 19:15,4,0,4
