Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,1/19/2021 19:15,28260258,592089,17437060
,0,1/19/2021 19:15,22193863,358849,20611793
,0,1/19/2021 19:15,14793286,391631,13106234
,0,1/19/2021 19:15,27904234,638097,15210660
,0,1/19/2021 19:15,3320272,80849,2752488
,0,1/19/2021 19:15,49651,1072,33794
,0,1/19/2021 19:15,721,15,706
,World,1/19/2021 19:15,96522285,2062602,69152735
,US,1/19/2021 19:15,24760786,410794,14717815
,India,1/19/2021 19:15,10596228,152747,10244839
,Brazil,1/19/2021 19:15,8573864,211491,7518846
,Russia,1/19/2021 19:15,3612800,66623,3002026
,UK,1/19/2021 19:15,3466849,91470,1558503
,France,1/19/2021 19:15,2938333,71342,211816
,Italy,1/19/2021 19:15,2400598,83157,1781917
,Turkey,1/19/2021 19:15,2399781,24328,2277987
,Spain,1/19/2021 19:15,2370742,54173,0
,Germany,1/19/2021 19:15,2071473,49244,1716200
,Colombia,1/19/2021 19:15,1939071,49402,1769935
,Argentina,1/19/2021 19:15,1807428,45832,1594768
,Mexico,1/19/2021 19:15,1649502,141248,1237321
,Poland,1/19/2021 19:15,1443804,33698,1197034
,South Africa,1/19/2021 19:15,1356716,38288,1144857
,Iran,1/19/2021 19:15,1342134,56973,1131883
,Ukraine,1/19/2021 19:15,1167655,21046,886248
,Peru,1/19/2021 19:15,1068802,38931,984726
,Indonesia,1/19/2021 19:15,927380,26590,753948
,Netherlands,1/19/2021 19:15,921580,13162,0
,Czechia,1/19/2021 19:15,899503,14646,750376
,Canada,1/19/2021 19:15,718488,18231,628290
,Romania,1/19/2021 19:15,697898,17369,630236
Brussels,Belgium,1/19/2021 19:15,679771,20472,46959
,Chile,1/19/2021 19:15,677151,17573,634960
,Iraq,1/19/2021 19:15,609852,12962,573011
,Portugal,1/19/2021 19:15,566958,9246,421871
,Israel,1/19/2021 19:15,565629,4080,478897
,Sweden,1/19/2021 19:15,533265,10591,0
,Bangladesh,1/19/2021 19:15,529031,7942,473855
,Pakistan,1/19/2021 19:15,523011,11055,476471
,Philippines,1/19/2021 19:15,504084,9978,466249
,Switzerland,1/19/2021 19:15,502191,8820,317600
,Morocco,1/19/2021 19:15,461390,8011,436626
,Austria,1/19/2021 19:15,396425,7199,373090
,Serbia,1/19/2021 19:15,375799,3791,31536
,Saudi Arabia,1/19/2021 19:15,365325,6335,357004
,Hungary,1/19/2021 19:15,353276,11520,231915
,Japan,1/19/2021 19:15,334328,4548,257719
,Jordan,1/19/2021 19:15,316427,4170,301893
,Panama,1/19/2021 19:15,299361,4828,241128
