Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,0/31/2020 19:15,11225690,352459,7417877
,0,0/31/2020 19:15,13677423,242929,12148242
,0,0/31/2020 19:15,9666565,294600,8610832
,0,0/31/2020 19:15,9939952,265455,3772356
,0,0/31/2020 19:15,1794906,42911,1462067
,0,0/31/2020 19:15,37471,970,32662
,0,0/31/2020 19:15,721,15,659
,World,0/31/2020 19:15,46342728,1199339,33444695
,US,0/31/2020 19:15,9397861,236057,6057201
,India,0/31/2020 19:15,8182881,122149,7489203
,Brazil,0/31/2020 19:15,5535460,159883,4966264
,Russia,0/31/2020 19:15,1618116,27990,1215414
,France,0/31/2020 19:15,1367625,36788,117658
,Spain,0/31/2020 19:15,1264517,35878,0
,Argentina,0/31/2020 19:15,1157179,30792,961101
,Colombia,0/31/2020 19:15,1074184,31314,969230
,UK,0/31/2020 19:15,1011660,46555,0
,Mexico,0/31/2020 19:15,918811,91289,673457
,Peru,0/31/2020 19:15,902503,34476,825197
,South Africa,0/31/2020 19:15,725452,19276,654182
,Italy,0/31/2020 19:15,679430,38618,289426
,Iran,0/31/2020 19:15,612772,34864,481930
,Germany,0/31/2020 19:15,531562,10582,345700
,Chile,0/31/2020 19:15,510256,14207,486642
,Iraq,0/31/2020 19:15,472630,10910,399655
Brussels,Belgium,0/31/2020 19:15,412314,11452,24906
,Indonesia,0/31/2020 19:15,410088,13869,337801
,Bangladesh,0/31/2020 19:15,407684,5923,324145
,Ukraine,0/31/2020 19:15,387481,7196,158928
,Philippines,0/31/2020 19:15,380729,7221,331046
,Turkey,0/31/2020 19:15,375367,10252,323971
,Poland,0/31/2020 19:15,362731,5631,140280
,Netherlands,0/31/2020 19:15,351178,7395,0
,Saudi Arabia,0/31/2020 19:15,347282,5402,333842
,Pakistan,0/31/2020 19:15,332993,6806,314066
,Czechia,0/31/2020 19:15,330445,3197,137950
,Israel,0/31/2020 19:15,314422,2539,301241
,Romania,0/31/2020 19:15,241339,6968,172513
,Canada,0/31/2020 19:15,234433,10136,195795
,Morocco,0/31/2020 19:15,219084,3695,181275
,Nepal,0/31/2020 19:15,170743,937,131222
,Ecuador,0/31/2020 19:15,168192,12670,141759
,Switzerland,0/31/2020 19:15,154251,2286,65200
,Bolivia,0/31/2020 19:15,141631,8715,111178
,Portugal,0/31/2020 19:15,141279,2507,80280
,Panama,0/31/2020 19:15,132867,2688,109369
,United Arab Emirates,0/31/2020 19:15,132629,495,128902
,Qatar,0/31/2020 19:15,132556,232,129583
,Dominican Republic,0/31/2020 19:15,127018,2245,104862
,Kuwait,0/31/2020 19:15,125926,779,116862
,Sweden,0/31/2020 19:15,124355,5938,0
,Oman,0/31/2020 19:15,114434,1208,103060
,Kazakhstan,0/31/2020 19:15,111953,1825,106310
,Costa Rica,0/31/2020 19:15,109971,1385,66719
,Guatemala,0/31/2020 19:15,107939,3729,97289
,Egypt,0/31/2020 19:15,107376,6258,99353
,Austria,0/31/2020 19:15,104925,1109,67226
,Japan,0/31/2020 19:15,100392,1755,92475
,Belarus,0/31/2020 19:15,98482,980,86663
,Honduras,0/31/2020 19:15,96888,2669,40129
,Ethiopia,0/31/2020 19:15,96169,1469,52517
,Venezuela,0/31/2020 19:15,91589,793,86335
,Armenia,0/31/2020 19:15,89813,1341,55317
,Bahrain,0/31/2020 19:15,81466,320,78365
,Lebanon,0/31/2020 19:15,81228,637,41624
,Moldova,0/31/2020 19:15,76040,1785,55782
,Hungary,0/31/2020 19:15,75321,1750,19032
,Jordan,0/31/2020 19:15,72607,829,7600
,Uzbekistan,0/31/2020 19:15,66628,563,63864
,Nigeria,0/31/2020 19:15,62691,1144,58430
,Paraguay,0/31/2020 19:15,62596,1387,42337
,Ireland,0/31/2020 19:15,61456,1913,23364
,Libya,0/31/2020 19:15,61095,857,35030
,Tunisia,0/31/2020 19:15,59813,1317,5032
,Kyrgyzstan,0/31/2020 19:15,58878,1144,49983
,Singapore,0/31/2020 19:15,58015,28,57913
,Algeria,0/31/2020 19:15,57942,1964,40201
,Slovakia,0/31/2020 19:15,57664,219,12617
,Azerbaijan,0/31/2020 19:15,55269,730,43543
,Kenya,0/31/2020 19:15,55192,981,35876
,Palestine,0/31/2020 19:15,53520,483,46309
,Myanmar,0/31/2020 19:15,52706,1237,32774
,Bulgaria,0/31/2020 19:15,51041,1254,19877
,Bosnia and Herzegovina,0/31/2020 19:15,50090,1234,28083
,Croatia,0/31/2020 19:15,49316,546,32818
,Ghana,0/31/2020 19:15,48055,320,47169
,Serbia,0/31/2020 19:15,46954,820,31536
,Denmark,0/31/2020 19:15,46351,721,34523
,Afghanistan,0/31/2020 19:15,41425,1536,34321
,Greece,0/31/2020 19:15,39251,626,9989
,Georgia,0/31/2020 19:15,38936,307,22691
,Slovenia,0/31/2020 19:15,34307,338,12091
,El Salvador,0/31/2020 19:15,33445,975,29186
,North Macedonia,0/31/2020 19:15,31572,994,20731
,Malaysia,0/31/2020 19:15,31548,249,21248
,Australia,0/31/2020 19:15,27590,907,25324
,South Korea,0/31/2020 19:15,26511,464,24311
,Cameroon,0/31/2020 19:15,21793,426,20117
,Albania,0/31/2020 19:15,20875,509,11189
,Ivory Coast,0/31/2020 19:15,20716,126,20365
,Norway,0/31/2020 19:15,20214,282,11863
,Montenegro,0/31/2020 19:15,18341,301,14084
,Luxembourg,0/31/2020 19:15,17933,157,10081
,Madagascar,0/31/2020 19:15,16968,244,16301
,Zambia,0/31/2020 19:15,16432,349,15680
,Finland,0/31/2020 19:15,16113,358,11300
,Senegal,0/31/2020 19:15,15616,324,14853
,Lithuania,0/31/2020 19:15,14824,165,4872
,Sudan,0/31/2020 19:15,13804,837,6764
,Namibia,0/31/2020 19:15,12935,133,11036
,Mozambique,0/31/2020 19:15,12869,92,10437
,Uganda,0/31/2020 19:15,12410,110,7503
,Guinea,0/31/2020 19:15,12072,72,10550
,Maldives,0/31/2020 19:15,11659,38,10814
,DRC,0/31/2020 19:15,11306,307,10585
,Tajikistan,0/31/2020 19:15,11017,82,10233
,Angola,0/31/2020 19:15,10805,284,4523
,Sri Lanka,0/31/2020 19:15,10663,20,4399
,French Guiana,0/31/2020 19:15,10536,70,9995
,Jamaica,0/31/2020 19:15,9094,206,4510
,Haiti,0/31/2020 19:15,9057,232,7429
,Gabon,0/31/2020 19:15,8968,55,8698
,Cabo Verde,0/31/2020 19:15,8793,95,7981
,Zimbabwe,0/31/2020 19:15,8367,243,7894
,Mauritania,0/31/2020 19:15,7700,163,7416
,Guadeloupe,0/31/2020 19:15,7605,126,2242
,French Polynesia,0/31/2020 19:15,7262,29,4842
,Cuba,0/31/2020 19:15,6887,128,6245
,Bahamas,0/31/2020 19:15,6644,142,4257
,Botswana,0/31/2020 19:15,6642,24,4676
,Malta,0/31/2020 19:15,6042,62,4155
,Malawi,0/31/2020 19:15,5930,184,5323
,Eswatini,0/31/2020 19:15,5917,117,5646
,Latvia,0/31/2020 19:15,5894,71,1406
,Syria,0/31/2020 19:15,5728,288,1976
,Trinidad and Tobago,0/31/2020 19:15,5692,108,4610
,Reunion,0/31/2020 19:15,5659,24,4884
,Djibouti,0/31/2020 19:15,5561,61,5441
,Nicaragua,0/31/2020 19:15,5514,156,4225
Hong Kong,Hong Kong,0/31/2020 19:15,5324,105,5089
,Congo,0/31/2020 19:15,5290,92,3887
,Suriname,0/31/2020 19:15,5201,111,5057
,Rwanda,0/31/2020 19:15,5137,35,4879
,Equatorial Guinea,0/31/2020 19:15,5088,83,4965
,Estonia,0/31/2020 19:15,4905,73,3811
,CAR,0/31/2020 19:15,4866,62,1924
,Iceland,0/31/2020 19:15,4865,13,3873
,Andorra,0/31/2020 19:15,4665,75,3377
,Aruba,0/31/2020 19:15,4494,37,4286
,Mayotte,0/31/2020 19:15,4366,44,2964
,Cyprus,0/31/2020 19:15,4217,25,1882
,Guyana,0/31/2020 19:15,4143,124,3192
,Somalia,0/31/2020 19:15,3941,104,3185
,Thailand,0/31/2020 19:15,3780,59,3590
