Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,6/10/2021 19:15,40082259,905216,33128394
,0,6/10/2021 19:15,53076097,730061,49971763
,0,6/10/2021 19:15,30233634,932752,27394494
,0,6/10/2021 19:15,47069170,1083707,44331779
,0,6/10/2021 19:15,5028091,134000,4509090
,0,6/10/2021 19:15,69940,1254,67199
,0,6/10/2021 19:15,721,15,706
,World,6/10/2021 19:15,175559912,3787005,159403425
,US,6/10/2021 19:15,34275075,613806,28272693
,India,6/10/2021 19:15,29273338,363097,27778894
,Brazil,6/10/2021 19:15,17210969,482019,15670754
,France,6/10/2021 19:15,5729967,110270,0
,Turkey,6/10/2021 19:15,5313098,48524,5186728
,Russia,6/10/2021 19:15,5167949,125278,4771995
,UK,6/10/2021 19:15,4542986,127867,4283263
,Italy,6/10/2021 19:15,4239868,126855,3943704
,Argentina,6/10/2021 19:15,4066156,83941,3639402
,Spain,6/10/2021 19:15,3729458,80465,3505243
,Germany,6/10/2021 19:15,3718617,90283,3563800
,Colombia,6/10/2021 19:15,3665137,94046,3409076
,Iran,6/10/2021 19:15,2990714,81519,2590682
,Poland,6/10/2021 19:15,2876667,74447,2647095
,Mexico,6/10/2021 19:15,2441866,229353,1946477
,Ukraine,6/10/2021 19:15,2219824,51507,2115197
,Peru,6/10/2021 19:15,1991203,187479,0
,Indonesia,6/10/2021 19:15,1885942,52373,1728914
,South Africa,6/10/2021 19:15,1722086,57410,1593059
,Netherlands,6/10/2021 19:15,1669121,17705,0
,Czechia,6/10/2021 19:15,1664649,30211,1628170
,Chile,6/10/2021 19:15,1453478,30339,1376335
,Canada,6/10/2021 19:15,1397944,25863,1352373
,Philippines,6/10/2021 19:15,1293687,22312,1214454
,Iraq,6/10/2021 19:15,1242540,16648,1159973
,Sweden,6/10/2021 19:15,1082729,14528,0
,Romania,6/10/2021 19:15,1079427,31531,1043604
Brussels,Belgium,6/10/2021 19:15,1073358,25061,991558
,Pakistan,6/10/2021 19:15,937434,21529,871669
,Portugal,6/10/2021 19:15,855432,17043,814023
,Israel,6/10/2021 19:15,839624,6428,832988
,Bangladesh,6/10/2021 19:15,820395,12989,759630
,Hungary,6/10/2021 19:15,806591,29896,722296
,Japan,6/10/2021 19:15,767808,13841,717882
,Jordan,6/10/2021 19:15,742178,9570,724469
,Serbia,6/10/2021 19:15,714462,6945,702339
,Switzerland,6/10/2021 19:15,699697,10852,664845
,Austria,6/10/2021 19:15,647971,10650,632660
,Malaysia,6/10/2021 19:15,639562,3684,556030
,Nepal,6/10/2021 19:15,601687,8238,515591
,United Arab Emirates,6/10/2021 19:15,589423,1710,568828
,Lebanon,6/10/2021 19:15,541940,7780,525065
,Morocco,6/10/2021 19:15,522765,9192,510299
,Saudi Arabia,6/10/2021 19:15,462528,7503,444792
,Ecuador,6/10/2021 19:15,433870,20903,398645
,Bulgaria,6/10/2021 19:15,420090,17887,388585
,Greece,6/10/2021 19:15,413170,12370,388049
,Belarus,6/10/2021 19:15,402819,2949,395463
,Kazakhstan,6/10/2021 19:15,397976,4124,372414
,Bolivia,6/10/2021 19:15,396814,15247,313445
,Slovakia,6/10/2021 19:15,390809,12433,0
,Panama,6/10/2021 19:15,384512,6413,369857
,Paraguay,6/10/2021 19:15,382231,10278,314155
,Tunisia,6/10/2021 19:15,362658,13305,317758
,Croatia,6/10/2021 19:15,358245,8110,348845
,Georgia,6/10/2021 19:15,351954,4996,337023
,Costa Rica,6/10/2021 19:15,336007,4278,258822
,Azerbaijan,6/10/2021 19:15,334992,4951,327907
,Uruguay,6/10/2021 19:15,326405,4816,286472
,Kuwait,6/10/2021 19:15,323357,1810,306232
,Palestine,6/10/2021 19:15,310544,3520,302357
,Dominican Republic,6/10/2021 19:15,305569,3695,248966
,Denmark,6/10/2021 19:15,288229,2520,274334
,Lithuania,6/10/2021 19:15,277222,4327,261916
,Ethiopia,6/10/2021 19:15,273678,4231,249028
,Egypt,6/10/2021 19:15,270292,15471,198632
,Ireland,6/10/2021 19:15,265754,4941,0
,Guatemala,6/10/2021 19:15,265662,8361,242033
,Slovenia,6/10/2021 19:15,256103,4393,248459
,Moldova,6/10/2021 19:15,255661,6147,248384
,Bahrain,6/10/2021 19:15,254920,1171,236301
,Venezuela,6/10/2021 19:15,246764,2764,226548
,Honduras,6/10/2021 19:15,243467,6559,86549
,Oman,6/10/2021 19:15,230219,2467,207795
,Armenia,6/10/2021 19:15,223460,4478,214857
,Qatar,6/10/2021 19:15,219281,574,216301
,Sri Lanka,6/10/2021 19:15,216134,1910,182238
,Bosnia and Herzegovina,6/10/2021 19:15,204567,9473,176964
,Libya,6/10/2021 19:15,188386,3155,174223
,Thailand,6/10/2021 19:15,187538,1375,139287
,Kenya,6/10/2021 19:15,174285,3362,119246
,Nigeria,6/10/2021 19:15,166982,2117,163331
,North Macedonia,6/10/2021 19:15,155487,5468,149582
,Cuba,6/10/2021 19:15,153578,1057,146418
,South Korea,6/10/2021 19:15,146303,1979,136713
,Myanmar,6/10/2021 19:15,144876,3237,132690
,Latvia,6/10/2021 19:15,135584,2443,129903
,Albania,6/10/2021 19:15,132426,2452,129785
,Algeria,6/10/2021 19:15,132355,3552,92132
,Estonia,6/10/2021 19:15,130364,1266,125356
,Norway,6/10/2021 19:15,127591,789,88952
,Kyrgyzstan,6/10/2021 19:15,108667,1869,101715
,Zambia,6/10/2021 19:15,105909,1332,94995
,Uzbekistan,6/10/2021 19:15,102605,702,98592
,Montenegro,6/10/2021 19:15,99890,1596,97803
,Ghana,6/10/2021 19:15,94369,789,92488
,Finland,6/10/2021 19:15,93613,964,46000
,Afghanistan,6/10/2021 19:15,87716,3412,60280
,Cameroon,6/10/2021 19:15,79904,1302,74429
,El Salvador,6/10/2021 19:15,74983,2284,69867
,Cyprus,6/10/2021 19:15,72996,367,71166
,Mozambique,6/10/2021 19:15,71279,840,69740
,Mongolia,6/10/2021 19:15,70482,334,55569
,Luxembourg,6/10/2021 19:15,70383,818,68863
,Maldives,6/10/2021 19:15,69213,191,53392
,Singapore,6/10/2021 19:15,62236,34,61765
,Namibia,6/10/2021 19:15,61374,968,53143
,Botswana,6/10/2021 19:15,58095,885,53887
,Uganda,6/10/2021 19:15,56949,402,47760
,Jamaica,6/10/2021 19:15,49110,989,27013
,Ivory Coast,6/10/2021 19:15,47547,306,47061
,Senegal,6/10/2021 19:15,41850,1150,40404
,Madagascar,6/10/2021 19:15,41840,875,40158
,Zimbabwe,6/10/2021 19:15,39496,1626,36940
,Cambodia,6/10/2021 19:15,36666,300,29807
,Sudan,6/10/2021 19:15,36203,2719,29841
,Angola,6/10/2021 19:15,36115,811,29553
,Malawi,6/10/2021 19:15,34432,1158,32702
,DRC,6/10/2021 19:15,33956,821,27794
,Cabo Verde,6/10/2021 19:15,31339,270,30042
,Malta,6/10/2021 19:15,30577,419,30091
,Australia,6/10/2021 19:15,30225,910,29156
,Trinidad and Tobago,6/10/2021 19:15,27806,630,17566
,Rwanda,6/10/2021 19:15,27548,365,26341
,Reunion,6/10/2021 19:15,27235,212,25088
,French Guiana,6/10/2021 19:15,25292,130,9995
,Syria,6/10/2021 19:15,24723,1801,21653
,Gabon,6/10/2021 19:15,24696,156,23483
,Guinea,6/10/2021 19:15,23334,165,21410
,Mayotte,6/10/2021 19:15,20176,173,2964
,Mauritania,6/10/2021 19:15,19923,470,18946
,French Polynesia,6/10/2021 19:15,18914,142,18736
,Eswatini,6/10/2021 19:15,18694,676,17917
,Guyana,6/10/2021 19:15,17939,417,15837
,Suriname,6/10/2021 19:15,17313,373,13102
,Guadeloupe,6/10/2021 19:15,16608,225,2250
,Papua New Guinea,6/10/2021 19:15,16580,164,15877
,Haiti,6/10/2021 19:15,15908,333,12557
,Somalia,6/10/2021 19:15,14779,774,6995
,Mali,6/10/2021 19:15,14328,521,9892
,Andorra,6/10/2021 19:15,13805,127,13578
,Togo,6/10/2021 19:15,13563,126,13275
,Burkina Faso,6/10/2021 19:15,13454,167,13268
,Tajikistan,6/10/2021 19:15,13308,90,13218
,Belize,6/10/2021 19:15,12916,325,12456
,Seychelles,6/10/2021 19:15,12466,46,11336
,Curacao,6/10/2021 19:15,12287,123,12139
Taiwan,Taiwan,6/10/2021 19:15,12222,361,1133
,Martinique,6/10/2021 19:15,12110,98,98
,Bahamas,6/10/2021 19:15,12027,232,11081
,Congo,6/10/2021 19:15,12026,157,11110
Hong Kong,Hong Kong,6/10/2021 19:15,11875,210,11587
,Djibouti,6/10/2021 19:15,11567,154,11395
,Aruba,6/10/2021 19:15,11068,107,10926
,Lesotho,6/10/2021 19:15,10839,326,6438
,South Sudan,6/10/2021 19:15,10688,115,10514
,Vietnam,6/10/2021 19:15,9784,55,3708
,Equatorial Guinea,6/10/2021 19:15,8640,118,8303
,Benin,6/10/2021 19:15,8109,102,7979
,Timor-Leste,6/10/2021 19:15,7941,18,5985
,Nicaragua,6/10/2021 19:15,7662,188,4225
,CAR,6/10/2021 19:15,7101,98,6859
,Yemen,6/10/2021 19:15,6832,1337,3675
,Iceland,6/10/2021 19:15,6616,30,6535
,Gambia,6/10/2021 19:15,6002,179,5800
,Niger,6/10/2021 19:15,5440,192,5135
,Saint Lucia,6/10/2021 19:15,5156,80,4939
,San Marino,6/10/2021 19:15,5090,90,4998
,Chad,6/10/2021 19:15,4942,174,4765
,Burundi,6/10/2021 19:15,4942,8,773
,Eritrea,6/10/2021 19:15,4766,16,4252
,Gibraltar,6/10/2021 19:15,4304,94,4199
,Sierra Leone,6/10/2021 19:15,4251,82,3164
,Channel Islands,6/10/2021 19:15,4083,86,3956
,Barbados,6/10/2021 19:15,4032,47,3963
,Comoros,6/10/2021 19:15,3890,146,3736
,Guinea-Bissau,6/10/2021 19:15,3794,68,3538
,Liechtenstein,6/10/2021 19:15,3023,58,2946
,New Zealand,6/10/2021 19:15,2697,26,2647
,Monaco,6/10/2021 19:15,2514,33,2469
,Sint Maarten,6/10/2021 19:15,2503,30,2402
,Bermuda,6/10/2021 19:15,2497,33,2455
,Turks and Caicos,6/10/2021 19:15,2421,18,2387
,Liberia,6/10/2021 19:15,2382,88,2057
,Sao Tome and Principe,6/10/2021 19:15,2355,37,2306
,St. Vincent Grenadines,6/10/2021 19:15,2092,12,1856
,Saint Martin,6/10/2021 19:15,2040,12,1399
,Laos,6/10/2021 19:15,1975,3,1807
,Bhutan,6/10/2021 19:15,1769,1,1440
,Caribbean Netherlands,6/10/2021 19:15,1616,17,1580
,Isle of Man,6/10/2021 19:15,1599,29,1563
,Mauritius,6/10/2021 19:15,1496,18,1213
,Antigua and Barbuda,6/10/2021 19:15,1263,42,1214
,St. Barth,6/10/2021 19:15,1005,1,462
,Fiji,6/10/2021 19:15,919,4,256
,Faeroe Islands,6/10/2021 19:15,752,1,711
Yokohama,Japan,6/10/2021 19:15,712,13,699
,Cayman Islands,6/10/2021 19:15,592,2,576
,Tanzania,6/10/2021 19:15,509,21,183
,Wallis and Futuna,6/10/2021 19:15,445,7,438
,British Virgin Islands,6/10/2021 19:15,248,1,209
,Brunei,6/10/2021 19:15,246,3,231
,Dominica,6/10/2021 19:15,188,0,188
,Grenada,6/10/2021 19:15,161,1,160
,New Caledonia,6/10/2021 19:15,128,0,58
,Anguilla,6/10/2021 19:15,109,0,109
,Saint Kitts and Nevis,6/10/2021 19:15,83,0,51
,Falkland Islands,6/10/2021 19:15,63,0,63
Macau,Macau,6/10/2021 19:15,52,0,51
,Greenland,6/10/2021 19:15,43,0,34
,Vatican City,6/10/2021 19:15,27,0,27
,Saint Pierre Miquelon,6/10/2021 19:15,25,0,25
,Montserrat,6/10/2021 19:15,20,1,19
,Solomon Islands,6/10/2021 19:15,20,0,20
,Western Sahara,6/10/2021 19:15,10,1,8
,MS Zaandam,6/10/2021 19:15,9,2,7
,Vanuatu,6/10/2021 19:15,4,1,3
,Marshall Islands,6/10/2021 19:15,4,0,4
,Samoa,6/10/2021 19:15,3,0,3
,Saint Helena,6/10/2021 19:15,2,0,2
,Micronesia,6/10/2021 19:15,1,0,1
,China,6/10/2021 19:15,91337,4636,86285
