Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,5/06/2021 19:15,38687193,868213,30500613
,0,5/06/2021 19:15,42483345,552500,36528330
,0,5/06/2021 19:15,25541280,693805,23153021
,0,5/06/2021 19:15,45207862,1028475,40327005
,0,5/06/2021 19:15,4643048,123740,4175203
,0,5/06/2021 19:15,63652,1208,60429
,0,5/06/2021 19:15,721,15,706
,World,5/06/2021 19:15,156627101,3267956,134745307
,US,5/06/2021 19:15,33362424,593939,26091698
,India,5/06/2021 19:15,21485285,234071,17597410
,Brazil,5/06/2021 19:15,15003563,416949,13529572
,France,5/06/2021 19:15,5728090,105850,0
,Turkey,5/06/2021 19:15,4977982,42187,4626799
,Russia,5/06/2021 19:15,4855128,112246,4472338
,UK,5/06/2021 19:15,4428553,127583,4240475
,Italy,5/06/2021 19:15,4082198,122263,3557133
,Spain,5/06/2021 19:15,3559222,78726,3239382
,Germany,5/06/2021 19:15,3486462,84811,3107300
,Argentina,5/06/2021 19:15,3095582,66263,2757230
,Colombia,5/06/2021 19:15,2934611,76015,2754940
,Poland,5/06/2021 19:15,2818378,68993,2546751
,Iran,5/06/2021 19:15,2610018,73906,2057692
,Mexico,5/06/2021 19:15,2355985,218007,1877347
,Ukraine,5/06/2021 19:15,2097024,45451,1711709
,Peru,5/06/2021 19:15,1824457,62976,1720665
,Indonesia,5/06/2021 19:15,1697305,46496,1552532
,Czechia,5/06/2021 19:15,1641120,29521,1569862
,South Africa,5/06/2021 19:15,1590370,54620,1511905
,Netherlands,5/06/2021 19:15,1538589,17269,0
,Canada,5/06/2021 19:15,1263094,24489,1157636
,Chile,5/06/2021 19:15,1229248,26895,1166227
,Iraq,5/06/2021 19:15,1098187,15673,986134
,Philippines,5/06/2021 19:15,1080172,17991,999011
,Romania,5/06/2021 19:15,1062527,28710,1005623
Brussels,Belgium,5/06/2021 19:15,1003746,24406,0
,Sweden,5/06/2021 19:15,1002121,14158,0
,Pakistan,5/06/2021 19:15,845833,18537,743124
,Israel,5/06/2021 19:15,838828,6374,831331
,Portugal,5/06/2021 19:15,838475,16988,798952
,Hungary,5/06/2021 19:15,787647,28297,546246
,Bangladesh,5/06/2021 19:15,769160,11796,702163
,Jordan,5/06/2021 19:15,717930,9014,698201
,Serbia,5/06/2021 19:15,697241,6499,653821
,Switzerland,5/06/2021 19:15,669067,10695,599677
,Austria,5/06/2021 19:15,627484,10333,597922
,Japan,5/06/2021 19:15,616123,10517,542569
,Lebanon,5/06/2021 19:15,531234,7415,475383
,United Arab Emirates,5/06/2021 19:15,530944,1604,511340
,Morocco,5/06/2021 19:15,513016,9049,499917
,Malaysia,5/06/2021 19:15,427927,1610,392555
,Saudi Arabia,5/06/2021 19:15,423406,7032,406589
,Bulgaria,5/06/2021 19:15,408372,16800,345489
,Ecuador,5/06/2021 19:15,395327,19018,329582
,Slovakia,5/06/2021 19:15,384660,11920,0
,Nepal,5/06/2021 19:15,368580,3529,292490
,Panama,5/06/2021 19:15,365975,6252,355828
,Belarus,5/06/2021 19:15,364951,2602,355531
,Greece,5/06/2021 19:15,355445,10847,320966
,Croatia,5/06/2021 19:15,341052,7355,321755
,Kazakhstan,5/06/2021 19:15,334812,3833,288187
,Azerbaijan,5/06/2021 19:15,324685,4635,301006
,Georgia,5/06/2021 19:15,317719,4227,297676
,Tunisia,5/06/2021 19:15,315600,11122,269653
,Bolivia,5/06/2021 19:15,312407,13123,257277
,Palestine,5/06/2021 19:15,300387,3326,281586
,Paraguay,5/06/2021 19:15,288974,6798,239165
,Kuwait,5/06/2021 19:15,280536,1610,264094
,Dominican Republic,5/06/2021 19:15,269184,3514,230033
,Costa Rica,5/06/2021 19:15,263094,3341,211043
,Ethiopia,5/06/2021 19:15,260802,3822,205458
,Denmark,5/06/2021 19:15,256482,2493,243718
,Lithuania,5/06/2021 19:15,254091,4000,228696
,Moldova,5/06/2021 19:15,252153,5912,242363
,Ireland,5/06/2021 19:15,251474,4921,0
,Slovenia,5/06/2021 19:15,244495,4282,230602
,Egypt,5/06/2021 19:15,232905,13655,174217
,Guatemala,5/06/2021 19:15,231289,7642,209096
,Armenia,5/06/2021 19:15,218325,4192,202273
,Honduras,5/06/2021 19:15,216964,5439,79925
,Uruguay,5/06/2021 19:15,209867,2918,181719
,Qatar,5/06/2021 19:15,209470,493,198227
,Venezuela,5/06/2021 19:15,202578,2226,185312
