Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,1/24/2020 19:15,15077672,395586,9235681
,0,1/24/2020 19:15,15990176,281544,14340821
,0,1/24/2020 19:15,10785037,318964,9672797
,0,1/24/2020 19:15,16028136,365466,6392383
,0,1/24/2020 19:15,2104703,50402,1781190
,0,1/24/2020 19:15,43885,1009,32989
,0,1/24/2020 19:15,721,15,659
,World,1/24/2020 19:15,60030330,1412986,41456520
,US,1/24/2020 19:15,12921302,265600,7606436
,India,1/24/2020 19:15,9221998,134743,8641404
,Brazil,1/24/2020 19:15,6118708,170115,5445095
,France,1/24/2020 19:15,2153815,50237,154679
,Russia,1/24/2020 19:15,2138828,37031,1634671
,Spain,1/24/2020 19:15,1614126,43668,0
,UK,1/24/2020 19:15,1538794,55838,0
,Italy,1/24/2020 19:15,1455022,51306,605330
,Argentina,1/24/2020 19:15,1381795,37432,1210634
,Colombia,1/24/2020 19:15,1254979,35479,1158897
,Mexico,1/24/2020 19:15,1049358,101926,784693
,Germany,1/24/2020 19:15,962906,14965,636700
,Peru,1/24/2020 19:15,952439,35685,882600
,Poland,1/24/2020 19:15,909066,14314,454717
,Iran,1/24/2020 19:15,880542,45738,617715
,South Africa,1/24/2020 19:15,772252,21083,716444
,Ukraine,1/24/2020 19:15,647976,11263,299358
Brussels,Belgium,1/24/2020 19:15,559902,15755,36044
,Chile,1/24/2020 19:15,543087,15131,518834
,Iraq,1/24/2020 19:15,539749,12031,469784
,Indonesia,1/24/2020 19:15,506302,16111,425313
,Czechia,1/24/2020 19:15,499831,7483,406726
,Netherlands,1/24/2020 19:15,493744,9035,0
,Turkey,1/24/2020 19:15,460916,12672,381569
,Bangladesh,1/24/2020 19:15,451990,6448,366877
,Romania,1/24/2020 19:15,430605,10373,304188
,Philippines,1/24/2020 19:15,421722,8185,386792
,Pakistan,1/24/2020 19:15,379883,7744,331760
,Saudi Arabia,1/24/2020 19:15,355741,5811,344311
,Canada,1/24/2020 19:15,340388,11592,271937
,Morocco,1/24/2020 19:15,331527,5469,279276
,Israel,1/24/2020 19:15,330935,2822,319086
,Switzerland,1/24/2020 19:15,304593,4308,211500
,Portugal,1/24/2020 19:15,268721,4056,184233
,Austria,1/24/2020 19:15,254710,2577,182620
,Sweden,1/24/2020 19:15,225560,6500,0
,Nepal,1/24/2020 19:15,224078,1361,204858
,Jordan,1/24/2020 19:15,192996,2380,125433
,Ecuador,1/24/2020 19:15,186436,13264,164009
,Hungary,1/24/2020 19:15,181881,4008,44020
,United Arab Emirates,1/24/2020 19:15,161365,559,150261
,Panama,1/24/2020 19:15,155658,2973,137004
,Bolivia,1/24/2020 19:15,144034,8916,119548
,Kuwait,1/24/2020 19:15,140795,870,133407
,Dominican Republic,1/24/2020 19:15,139111,2313,113134
,Qatar,1/24/2020 19:15,137642,236,134698
,Japan,1/24/2020 19:15,133929,1989,113340
,Costa Rica,1/24/2020 19:15,133190,1662,81973
,Serbia,1/24/2020 19:15,133029,1274,31536
,Armenia,1/24/2020 19:15,127522,2002,98944
,Belarus,1/24/2020 19:15,126953,1112,105835
,Kazakhstan,1/24/2020 19:15,126860,1945,113646
,Bulgaria,1/24/2020 19:15,124966,3069,38226
,Oman,1/24/2020 19:15,122579,1391,113856
,Guatemala,1/24/2020 19:15,119349,4099,108338
,Lebanon,1/24/2020 19:15,118705,934,70555
,Egypt,1/24/2020 19:15,113381,6560,101981
,Georgia,1/24/2020 19:15,111818,1051,92215
,Croatia,1/24/2020 19:15,108014,1445,87408
,Ethiopia,1/24/2020 19:15,106591,1661,66018
