Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,9/12/2020 09:15,7899652,287974,4795767
,0,9/12/2020 09:15,8381068,161281,6753466
,0,9/12/2020 09:15,7011627,225763,5716843
,0,9/12/2020 09:15,4028081,212222,2236805
,0,9/12/2020 09:15,1345349,32415,1080411
,0,9/12/2020 09:15,29921,836,25916
,0,9/12/2020 09:15,721,15,651
,World,9/12/2020 09:15,28696419,920506,20609859
,US,9/12/2020 09:15,6637388,197442,3918494
,India,9/12/2020 09:15,4665469,77548,3626106
,Brazil,9/12/2020 09:15,4283978,130474,3530655
,Russia,9/12/2020 09:15,1057362,18484,873535
,Peru,9/12/2020 09:15,716670,30470,552214
,Colombia,9/12/2020 09:15,702088,22518,582694
,Mexico,9/12/2020 09:15,658299,70183,463764
,South Africa,9/12/2020 09:15,646398,15378,574587
,Spain,9/12/2020 09:15,576697,29747,0
,Argentina,9/12/2020 09:15,535705,11148,400121
,Chile,9/12/2020 09:15,430535,11850,403064
,Iran,9/12/2020 09:15,399940,23029,344516
,France,9/12/2020 09:15,363350,30893,89059
,UK,9/12/2020 09:15,361677,41614,0
,Bangladesh,9/12/2020 09:15,336044,4702,238271
,Saudi Arabia,9/12/2020 09:15,324407,4213,300933
,Pakistan,9/12/2020 09:15,300955,6373,288536
,Turkey,9/12/2020 09:15,288126,6951,256524
,Italy,9/12/2020 09:15,284796,35597,212432
,Iraq,9/12/2020 09:15,282672,7881,217396
,Germany,9/12/2020 09:15,259725,9423,234850
,Philippines,9/12/2020 09:15,257863,4292,187116
,Indonesia,9/12/2020 09:15,214746,8650,152458
,Ukraine,9/12/2020 09:15,151859,3148,68346
,Israel,9/12/2020 09:15,148564,1090,111728
,Canada,9/12/2020 09:15,135626,9163,119674
,Bolivia,9/12/2020 09:15,125172,7250,81240
,Qatar,9/12/2020 09:15,121287,205,118199
,Ecuador,9/12/2020 09:15,114732,10836,91242
,Kazakhstan,9/12/2020 09:15,106729,1634,100518
,Romania,9/12/2020 09:15,102386,4127,42811
,Dominican Republic,9/12/2020 09:15,102232,1941,75747
,Egypt,9/12/2020 09:15,100708,5607,82473
,Panama,9/12/2020 09:15,100330,2140,72858
,Kuwait,9/12/2020 09:15,94211,558,84404
Brussels,Belgium,9/12/2020 09:15,91537,9919,18689
,Oman,9/12/2020 09:15,88337,762,83325
,Sweden,9/12/2020 09:15,86505,5846,0
,Morocco,9/12/2020 09:15,82197,1524,64194
,Guatemala,9/12/2020 09:15,81009,2929,69703
,Netherlands,9/12/2020 09:15,79781,6252,0
,United Arab Emirates,9/12/2020 09:15,78849,399,68983
,Belarus,9/12/2020 09:15,73975,744,72547
,Japan,9/12/2020 09:15,73901,1412,65590
,Poland,9/12/2020 09:15,73650,2182,59725
,Honduras,9/12/2020 09:15,66049,2058,16613
,Ethiopia,9/12/2020 09:15,63367,986,24024
,Portugal,9/12/2020 09:15,62813,1855,43644
,Bahrain,9/12/2020 09:15,58839,210,52776
,Venezuela,9/12/2020 09:15,58663,468,46960
,Singapore,9/12/2020 09:15,57357,27,56607
,Nigeria,9/12/2020 09:15,56017,1076,43998
,Costa Rica,9/12/2020 09:15,53969,583,20710
,Nepal,9/12/2020 09:15,53120,336,37524
,Algeria,9/12/2020 09:15,47752,1599,33723
,Switzerland,9/12/2020 09:15,46704,2020,38500
,Uzbekistan,9/12/2020 09:15,46498,382,43023
,Armenia,9/12/2020 09:15,45675,911,41605
,Ghana,9/12/2020 09:15,45388,285,44267
,Kyrgyzstan,9/12/2020 09:15,44828,1063,40779
,Moldova,9/12/2020 09:15,42183,1114,30437
,Afghanistan,9/12/2020 09:15,38641,1420,31234
,Azerbaijan,9/12/2020 09:15,38037,557,35440
,Kenya,9/12/2020 09:15,35793,616,22442
,Czechia,9/12/2020 09:15,33860,450,21140
,Austria,9/12/2020 09:15,32696,754,26579
,Serbia,9/12/2020 09:15,32228,730,31100
,Ireland,9/12/2020 09:15,30571,1781,23364
,Palestine,9/12/2020 09:15,29256,204,19788
,El Salvador,9/12/2020 09:15,26851,782,17874
,Australia,9/12/2020 09:15,26607,803,23329
,Paraguay,9/12/2020 09:15,26512,496,13181
,Lebanon,9/12/2020 09:15,22983,229,7312
,Bosnia and Herzegovina,9/12/2020 09:15,22834,686,15672
,South Korea,9/12/2020 09:15,22055,355,18029
,Libya,9/12/2020 09:15,21908,352,2506
,Cameroon,9/12/2020 09:15,20009,415,18837
,Denmark,9/12/2020 09:15,19557,630,16247
,Ivory Coast,9/12/2020 09:15,18916,119,17960
,Bulgaria,9/12/2020 09:15,17799,713,12750
,Madagascar,9/12/2020 09:15,15737,210,14349
,North Macedonia,9/12/2020 09:15,15555,642,12994
,Senegal,9/12/2020 09:15,14237,295,10373
,Sudan,9/12/2020 09:15,13470,834,6731
,Croatia,9/12/2020 09:15,13368,218,10721
,Zambia,9/12/2020 09:15,13323,306,11899
,Greece,9/12/2020 09:15,12734,300,3804
,Norway,9/12/2020 09:15,12003,265,10371
,Hungary,9/12/2020 09:15,11825,633,4058
,Albania,9/12/2020 09:15,11021,327,6443
,DRC,9/12/2020 09:15,10385,262,9719
,Guinea,9/12/2020 09:15,9979,63,9189
,Malaysia,9/12/2020 09:15,9868,128,9189
,French Guiana,9/12/2020 09:15,9494,63,9078
,Namibia,9/12/2020 09:15,9437,98,4898
,Maldives,9/12/2020 09:15,8990,31,6846
,Tajikistan,9/12/2020 09:15,8977,72,7747
,Gabon,9/12/2020 09:15,8643,53,7706
,Finland,9/12/2020 09:15,8512,337,7500
,Haiti,9/12/2020 09:15,8457,216,6120
,Zimbabwe,9/12/2020 09:15,7479,224,5660
,Mauritania,9/12/2020 09:15,7266,161,6786
,Luxembourg,9/12/2020 09:15,7159,124,6397
,Montenegro,9/12/2020 09:15,6385,115,4460
,Tunisia,9/12/2020 09:15,6259,103,1956
,Malawi,9/12/2020 09:15,5669,177,3720
,Slovakia,9/12/2020 09:15,5453,38,3114
,Djibouti,9/12/2020 09:15,5394,61,5327
,Eswatini,9/12/2020 09:15,5025,98,4165
,Equatorial Guinea,9/12/2020 09:15,4996,83,4490
Hong Kong,Hong Kong,9/12/2020 09:15,4939,100,4613
,Congo,9/12/2020 09:15,4928,88,3887
,Mozambique,9/12/2020 09:15,4918,31,2899
,Nicaragua,9/12/2020 09:15,4818,144,2913
,CAR,9/12/2020 09:15,4749,62,1825
,Cabo Verde,9/12/2020 09:15,4651,44,4076
,Cuba,9/12/2020 09:15,4593,106,3844
,Rwanda,9/12/2020 09:15,4534,22,2450
,Suriname,9/12/2020 09:15,4529,93,3747
,Uganda,9/12/2020 09:15,4377,49,1998
,Slovenia,9/12/2020 09:15,3603,135,2699
,Jamaica,9/12/2020 09:15,3511,40,1019
,Syria,9/12/2020 09:15,3476,150,812
,Thailand,9/12/2020 09:15,3466,58,3312
,Gambia,9/12/2020 09:15,3376,102,1617
,Somalia,9/12/2020 09:15,3376,98,2791
,Mayotte,9/12/2020 09:15,3374,40,2964
,Lithuania,9/12/2020 09:15,3296,86,2070
,Angola,9/12/2020 09:15,3279,131,1288
,Sri Lanka,9/12/2020 09:15,3172,12,2983
,Guadeloupe,9/12/2020 09:15,3080,24,837
,Jordan,9/12/2020 09:15,2945,21,2084
,Mali,9/12/2020 09:15,2912,128,2271
,Aruba,9/12/2020 09:15,2898,18,1451
,Trinidad and Tobago,9/12/2020 09:15,2825,50,762
,Bahamas,9/12/2020 09:15,2814,65,1220
,Estonia,9/12/2020 09:15,2655,64,2252
,Reunion,9/12/2020 09:15,2623,14,1313
,South Sudan,9/12/2020 09:15,2568,49,1290
,Myanmar,9/12/2020 09:15,2445,14,625
,Guinea-Bissau,9/12/2020 09:15,2275,39,1127
,Malta,9/12/2020 09:15,2274,15,1850
,Botswana,9/12/2020 09:15,2252,10,546
,Benin,9/12/2020 09:15,2242,40,1793
,Iceland,9/12/2020 09:15,2161,10,2079
,Sierra Leone,9/12/2020 09:15,2087,72,1622
,Georgia,9/12/2020 09:15,2075,19,1363
,Yemen,9/12/2020 09:15,2007,582,1211
,New Zealand,9/12/2020 09:15,1795,24,1663
,Uruguay,9/12/2020 09:15,1773,45,1490
,Guyana,9/12/2020 09:15,1763,52,1144
,Togo,9/12/2020 09:15,1548,37,1166
,Cyprus,9/12/2020 09:15,1520,22,1237
,Burkina Faso,9/12/2020 09:15,1499,56,1127
,Latvia,9/12/2020 09:15,1464,35,1248
,Belize,9/12/2020 09:15,1435,19,404
,Andorra,9/12/2020 09:15,1344,53,943
,Liberia,9/12/2020 09:15,1315,82,1199
,Lesotho,9/12/2020 09:15,1245,33,528
,Niger,9/12/2020 09:15,1178,69,1100
,Chad,9/12/2020 09:15,1081,79,934
,Vietnam,9/12/2020 09:15,1060,35,902
,French Polynesia,9/12/2020 09:15,953,2,642
,Martinique,9/12/2020 09:15,939,18,98
,Sao Tome and Principe,9/12/2020 09:15,906,15,866
,San Marino,9/12/2020 09:15,722,42,662
Yokohama,Japan,9/12/2020 09:15,712,13,651
,Turks and Caicos,9/12/2020 09:15,641,5,270
,Channel Islands,9/12/2020 09:15,633,48,575
,Sint Maarten,9/12/2020 09:15,531,19,387
,Tanzania,9/12/2020 09:15,509,21,183
,Papua New Guinea,9/12/2020 09:15,508,5,232
Taiwan,Taiwan,9/12/2020 09:15,498,7,475
,Burundi,9/12/2020 09:15,469,1,374
,Comoros,9/12/2020 09:15,456,7,415
,Faeroe Islands,9/12/2020 09:15,416,0,410
,Mauritius,9/12/2020 09:15,361,10,335
,Eritrea,9/12/2020 09:15,361,0,304
,Isle of Man,9/12/2020 09:15,337,24,312
,Gibraltar,9/12/2020 09:15,327,0,294
,Mongolia,9/12/2020 09:15,311,0,298
,Cambodia,9/12/2020 09:15,274,0,274
,Saint Martin,9/12/2020 09:15,256,6,107
,Bhutan,9/12/2020 09:15,241,0,158
,Cayman Islands,9/12/2020 09:15,208,1,204
,Barbados,9/12/2020 09:15,180,7,158
,Bermuda,9/12/2020 09:15,177,9,161
,Monaco,9/12/2020 09:15,168,1,123
,Brunei,9/12/2020 09:15,145,3,139
,Seychelles,9/12/2020 09:15,138,0,136
,Curacao,9/12/2020 09:15,135,1,55
,Liechtenstein,9/12/2020 09:15,109,1,105
,Antigua and Barbuda,9/12/2020 09:15,95,3,91
,British Virgin Islands,9/12/2020 09:15,64,1,30
,St. Vincent Grenadines,9/12/2020 09:15,64,0,61
Macau,Macau,9/12/2020 09:15,46,0,46
,Fiji,9/12/2020 09:15,32,2,24
,Saint Lucia,9/12/2020 09:15,27,0,26
,Timor-Leste,9/12/2020 09:15,27,0,25
,New Caledonia,9/12/2020 09:15,26,0,26
,Caribbean Netherlands,9/12/2020 09:15,25,0,7
,Dominica,9/12/2020 09:15,24,0,18
,Grenada,9/12/2020 09:15,24,0,24
,Laos,9/12/2020 09:15,23,0,21
,St. Barth,9/12/2020 09:15,21,0,13
,Saint Kitts and Nevis,9/12/2020 09:15,17,0,17
,Greenland,9/12/2020 09:15,14,0,14
,Montserrat,9/12/2020 09:15,13,1,11
,Falkland Islands,9/12/2020 09:15,13,0,13
,Vatican City,9/12/2020 09:15,12,0,12
,Western Sahara,9/12/2020 09:15,10,1,8
,Saint Pierre Miquelon,9/12/2020 09:15,10,0,5
,MS Zaandam,9/12/2020 09:15,9,2,0
,Anguilla,9/12/2020 09:15,3,0,3
,China,9/12/2020 09:15,85174,4634,80386
